;ProteinAjr;TotallipidfatAjr;CarbohydratebydifferenceAjr;EnergykcalAjr;SugarstotalgAjr;FibertotaldietaryAjr;CalciumCamAjr;IronFemAjr;MagnesiumMgmAjr;PhosphorusPmAjr;PotassiumKmAjr;Sodium0mAjr;ZincZnmAjr;CopperCumAjr;ManganeseMnmAjr;SeleniumSeAjr;Vitami0RAEAjr;VitaminEalphatocopherolmAjr;VitaminCtotalascorbicacidmAjr;ThiaminmAjr;RiboflavinmAjr;NiacinmAjr;PantothenicacidmAjr;VitaminB6mAjr;FolatetotalAjr;VitaminKphylloquinoneAjr;FattyacidstotalsaturatedAjr
Apples.dehydrated(lowmoisture).sulfured.uncooked;0.792;0.25;31.18;5.19;9.36;6.2;0.713;4.286;2.2;2.357;9.6;1.488;0.58;8.13;1.92;0.982;0.15;2.25;1.1;1.255;2.786;1.275;2.16;2;0.15;1.72;0.143
Apricots.dehydrated(low-moisture).sulfured.uncooked;2.94;0.27;27.63;4.8;0;0;2.288;13.521;6.3;6.729;27.75;0.156;2;17.28;5.535;0;23.7375;0;4.75;1.173;3.171428571;6.7125;5.335;3.714285714;0.6;0;0.0645
Ba00s.dehydrated.orba00powder;2.334;0.78;29.43;5.19;5.46;4.95;0.825;2.464;10.8;3.171;22.365;0.036;1.22;11.73;8.61;2.127;0.45;1.17;3.5;4.909;5.143;5.25;0;3.142857143;2.1;0.8;1.047
Blackberrydried;2.34;1.37;6.7;1.92;1.32;5.15;5.325;6.214;9.7;4.157;9.165;0.072;1.22;9.6;46.5;0;4.875;5.1;22;2.182;2.142857143;3.375;2.85;0.928571429;13.2;0;0.285
Blueberriesdried;1.8;0.43;11.47;2.745;3.97;6.25;2.25;5.357;2.5;3;6;0.18;2;12;22.5;0.005;0.469;0;17.5;4.091;3.214;4.688;5;1.785714286;1.8;0;0.015
CapeGooseberryDried;3.36;0.27;11.57;2.625;4;6.7;1.174;13.5;9.7;8.957;15;0.0372;0;17.7;0;0;28.125;0;40;4.364;1.285714286;3.5625;0;0;0;0;0
Cherriesdried;3.18;0.25;22.67;4.485;7.85;4;2.85;2.571;5.9;5.314;18.525;0.0696;1.18;12.3;9;3.218;0.881;1.8;18.5;4.909;3.857;3.375;7.5;2.071428571;4.41;0;0
Cranberriesdried;0.12;0.06;12.93;2.4;4.37;0.5;0.15;0.471;0.3;0.257;0.39;0.348;0.1;0.6;0.9;0.164;0.075;2.49;1;0.545;0.429;0.188;0;0.071428571;0.15;0.56;0.015
Currantdried;1.68;0.21;21.67;4.02;7.27;3;3.263;4.929;4.3;4.114;12.15;0.552;1;0;0;0.327;0.075;0.33;0;3;0;2.625;0;2.142857143;1.5;0;0
Dates.degletnoor;1.47;0.17;25.01;4.23;7.31;4;1.463;2.186;4.3;2.657;9.84;0.024;0.58;6.18;3.93;1.636;0;0.15;0.2;1.418;1.414;2.389;2.945;1.178571429;2.85;1.08;0.048
Figs.dried.uncooked;1.98;0.4;21.29;3.735;5.53;4.9;6.075;4.35;6.8;2.871;10.2;0.12;1.1;8.61;7.65;0.327;0;1.05;0.6;2.318;1.757142857;1.160625;2.17;0.757142857;1.35;6.24;0.216
Gojiberriesdried;8.4;1.37;21.67;5.175;4.27;4;4.2;15;3.82;2.914;16.98;2.88;3.6;6;4.35;20.182;63.75;1.77;38.5;1.636;27.85714286;0.91875;0.55;0.785714286;1.35;0.88;0.45
Kiwifruitdried;2.7;1.2;13.67;3.66;4.59;8.75;6.413;7.714;10.8;5.957;21.555;0.156;0.54;12.9;6.3;0;1.163;6;78.5;1.636;3.857;4.875;3.6;0.428571429;10.8;41.2;1.005
Mango.dried.sweetened;1.47;0.51;26.19;4.785;7.65;1.2;0;0.493;2;2.143;4.185;1.944;0.6;9;150;1.145;2.513;12.06;21.15;1.691;1.821428571;3.75;0;2.385714286;10.2;5.28;0.4305
Mirabelleplumdried;1.98;0.39;21.33;4.395;7.38;2.95;2.063;4.929;6.8;6.429;15.69;0;0.92;12.3;6.15;0;5.138;6;13.1;6;3.214;4.125;3.65;1.285714286;1.35;0;0.24
Mulberriesdried;2.1;1.24;25.33;16.665;8.31;2.95;4.2;11.786;4.2;7.114;10.5;0.0828;1.38;6.3;46.5;0;0.259;0;20;2.727;3.642857143;5.8125;4.15;1.5;8.7;0;0.75
Papayadried;2.46;0.3;18.67;3.75;6.46;7.45;6.15;7.071;32.1;5.357;22.425;0.192;5.8;8.1;2.7;0;7.35;14.7;251.5;5.182;5.142857143;7.6875;7;1.357142857;2.4;0;0.315
Pears.dried.sulfured.uncooked;1.122;0.27;23.23;3.93;7.18;3.75;1.275;4.5;3.3;2.529;7.995;0.072;0.78;11.13;4.905;0.109;0;0.18;3.5;0.218;3.107142857;2.5725;0.765;0.514285714;0;8.16;0.0525
