;ProteinAjr;TotallipidfatAjr;CarbohydratebydifferenceAjr;EnergykcalAjr;SugarstotalgAjr;FibertotaldietaryAjr;CalciumCamAjr;IronFemAjr;MagnesiumMgmAjr;PhosphorusPmAjr;PotassiumKmAjr;Sodium0mAjr;ZincZnmAjr;CopperCumAjr;ManganeseMnmAjr;SeleniumSeAjr;Vitami0RAEAjr;VitaminEalphatocopherolmAjr;VitaminCtotalascorbicacidmAjr;ThiaminmAjr;RiboflavinmAjr;NiacinmAjr;PantothenicacidmAjr;VitaminB6mAjr;FolatetotalAjr;VitaminKphylloquinoneAjr;FattyacidstotalsaturatedAjr
Nutgrass(nutgrass)peeledraw;2.1;0.47;15;3.12;0.13;5.6;0.638;7.286;9.2;3.6;6.39;0.6;1.1;0;0;0.273;0.188;7.2;16;5.182;0.429;3.188;0;1.142857143;3.3;0;0
Nuts.almonds.dryroasted.withoutsaltadded;12.576;22.52;7;8.97;0.56;5.45;10.05;7.993;27.9;20.186;10.695;0.036;6.62;32.97;33.48;1.091;0;71.7;0;2.1;25.65;6.819375;1.605;0.971428571;8.25;0;6.138
Nuts.brazilnuts.dried.unblanched;8.592;28.76;3.91;9.885;0.27;3.75;6;5.207;37.6;31.071;9.885;0.036;8.12;52.29;18.345;1045.636;0;16.95;0.35;16.827;0.75;0.553;0.92;0.721428571;3.3;0;24.201
Nuts.cashewnuts.dryroasted.withoutsaltadded;9.186;19.86;10.9;8.61;0.58;1.5;1.688;12.857;26;21;8.475;0.192;11.2;66.6;12.39;6.382;0;2.76;0;5.455;4.285714286;2.625;6.085;1.828571429;10.35;13.88;13.7355
Nuts.coconutmeat.dried(desiccated).notsweetened;4.128;27.66;7.88;9.9;0.85;8.15;0.975;7.114;9;8.829;8.145;0.444;4.02;23.88;41.175;10.091;0;1.32;0.75;1.636;2.143;1.131;4;2.142857143;1.35;0.12;85.827
Nuts.hazelnutsorfilberts.dryroasted.withoutsaltadded;9.018;26.74;5.87;9.69;0.56;4.7;4.613;9.386;17.3;13.286;11.325;0;5;52.5;83.25;2.236;0.113;45.84;1.9;9.218;2.635714286;3.84375;4.615;4.428571429;13.2;0;6.7665
Nuts.macadamianuts.dryroasted.withoutsaltadded;4.674;32.61;4.46;10.77;0.48;4;2.625;5.679;11.8;8.486;5.445;0.048;2.58;17.1;45.54;6.382;0;1.71;0.35;19.364;1.864;4.264;3.015;2.564285714;1.5;0;17.921
Nuts.pecans.dryroasted.withoutsaltadded;5.7;31.83;4.52;10.65;0.47;4.7;2.7;6;13.2;12.557;6.36;0.012;10.14;35.01;58.995;2.182;0.263;3.9;0.35;12.273;2.292857143;2.188125;3.515;1.335714286;2.4;0;9.4245
Nuts.pinenuts.pinyon.dried;6.942;26.13;6.43;9.435;0;5.35;0.3;6.557;23.4;1.5;9.42;0.864;8.56;31.05;64.995;0;0.038;0;1;33.9;4.779;8.194;1.05;0.792857143;8.7;0;14.066
Nuts.pistachionuts.dryroasted.withoutsaltadded;12.63;19.64;9.43;8.58;0.89;5.15;4.013;8.636;10.9;20.1;15.105;0.072;4.68;38.79;18.645;5.455;0.488;6.51;1.5;18.955;5.014285714;2.574375;2.565;8.014285714;7.65;5.28;8.4675
Nuts.walnuts.black.dried;14.436;25.43;3.19;9.285;0.13;3.4;2.288;6.686;20.1;21.986;7.845;0.024;6.74;40.8;58.44;9.273;0.075;6.24;0.85;1.555;2.786;0.881;8.3;4.164285714;4.65;1.08;5.225
Peanuts.alltypes.dry-roasted.withoutsalt;14.61;21.28;7.09;8.805;0.57;4.2;2.175;3.386;17.8;15.557;9.51;0.072;5.54;12.84;26.79;5.073;0;14.79;0;4.145;4.221;26.916;5.055;3.328571429;14.55;0;11.585
